"filename","p1","p1w","p2w","p2","date","time"
"2021-02-11 09.33.45 [Online Round 1] @Veals, pommerask.log","Veals",0,1,"pommerask",2021-02-11,"09:33:45"
"2021-02-11 10.03.09 [Online Round 2] @Veals, pommerask.log","Veals",1,0,"pommerask",2021-02-11,"10:03:09"
"2021-02-11 10.26.06 [Online Round 3] @Veals, pommerask.log","Veals",1,0,"pommerask",2021-02-11,"10:26:06"
"2021-02-11 17.00.40 [Online Round 1] @Veals, `Pn`Mega`Adnan - Veals.log","Veals",1,0,"`Pn`Mega`Adnan",2021-02-11,"17:00:40"
"2021-02-11 17.19.41 [Online Round 2] @Veals, `Pn`Mega`Adnan - Veals.log","Veals",1,0,"`Pn`Mega`Adnan",2021-02-11,"17:19:41"
"2021-02-11 21.26.38 [Online Round 1] @chesnut, Dejvid.log","chesnut",0,1,"Dejvid",2021-02-11,"21:26:38"
"2021-02-11 21.47.18 [Online Round 2] @chesnut, Dejvid.log","chesnut",0,1,"Dejvid",2021-02-11,"21:47:18"
"2021-02-11 22.16.47 [Online] @chesnut, SantiVera-.log","chesnut",0,1,"SantiVera-",2021-02-11,"22:16:47"
"2021-02-12 14.39.46 [Online Round 1] @Veals, Trade.log","Veals",1,0,"Trade",2021-02-12,"14:39:46"
"2021-02-12 14.58.35 [Online Round 2] @Veals, Trade.log","Veals",1,0,"Trade",2021-02-12,"14:58:35"
"2021-02-12 15.29.58 [Online Round 1] @NNNxDario, `Pn`Mega`Adnan.log","NNNxDario",0,1,"`Pn`Mega`Adnan",2021-02-12,"15:29:58"
"2021-02-12 15.57.16 [Online Round 2] @NNNxDario, `Pn`Mega`Adnan.log","NNNxDario",1,0,"`Pn`Mega`Adnan",2021-02-12,"15:57:16"
"2021-02-12 16.19.08 [Online Round 3] @NNNxDario, `Pn`Mega`Adnan.log","NNNxDario",1,0,"`Pn`Mega`Adnan",2021-02-12,"16:19:08"
"2021-02-12 16.50.44 [Online Round 1] @NNNxDario, Stoner.log","NNNxDario",1,0,"Stoner",2021-02-12,"16:50:44"
"2021-02-12 17.06.58 [Online Round 2] @NNNxDario, Stoner.log","NNNxDario",1,0,"Stoner",2021-02-12,"17:06:58"
"2021-02-12 17.17.58 [Online Round 1] @NNNxDario, xPoDxSilaneo, `Pn`Mega`Adnan.log","NNNxDario",1,0,"`Pn`Mega`Adnan",2021-02-12,"17:17:58"
"2021-02-12 17.39.11 [Online Round 2] @NNNxDario, xPoDxSilaneo, `Pn`Mega`Adnan.log","NNNxDario",1,0,"`Pn`Mega`Adnan",2021-02-12,"17:39:11"
"2021-02-12 18.33.19 [Online Round 1] @Veals, Alpha.log","Veals",0,1,"Alpha",2021-02-12,"18:33:19"
"2021-02-12 18.57.36 [Online Round 2] @Veals, Alpha.log","Veals",1,0,"Alpha",2021-02-12,"18:57:36"
"2021-02-12 19.23.10 [Online Round 3] @Veals, Alpha.log","Veals",0,1,"Alpha",2021-02-12,"19:23:10"
"2021-02-12 23.54.58 [Online] @NNNxDario, Seeba.log","NNNxDario",1,0,"Seeba",2021-02-12,"23:54:58"
"2021-02-13 08.49.38 [Online Round 1] @Veals, htjrftrftdxjrftf.log","Veals",1,0,"htjrftrftdxjrftf",2021-02-13,"08:49:38"
"2021-02-13 09.06.18 [Online Round 2] @Veals, htjrftrftdxjrftf.log","Veals",1,0,"htjrftrftdxjrftf",2021-02-13,"09:06:18"
"2021-02-13 13.40.35 [Online Round 1] @NNNxDario, Papu.log","NNNxDario",1,0,"Papu",2021-02-13,"13:40:35"
"2021-02-13 13.54.11 [Online Round 2] @NNNxDario, Papu.log","NNNxDario",1,0,"Papu",2021-02-13,"13:54:11"
"2021-02-13 16.38.24 [Online] @NNNxDario, Eray.log","NNNxDario",1,0,"Eray",2021-02-13,"16:38:24"
"2021-02-13 21.36.29 [Online] @NNNxDario, Zach.log","NNNxDario",1,0,"Zach",2021-02-13,"21:36:29"
"2021-02-13 22.53.17 [Online] @NNNxDario, Psykologi.log","NNNxDario",1,0,"Psykologi",2021-02-13,"22:53:17"
"2021-02-14 12.40.56 [Online Round 1] @NNNxDario, MIGHTY`taner.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-14,"12:40:56"
"2021-02-14 13.11.18 [Online Round 2] @NNNxDario, MIGHTY`taner.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-14,"13:11:18"
"2021-02-14 13.40.23 [Online Round 3] @NNNxDario, MIGHTY`taner.log","NNNxDario",0,1,"MIGHTY`taner",2021-02-14,"13:40:23"
"2021-02-14 14.07.09 [Online Round 4] @NNNxDario, MIGHTY`taner.log","NNNxDario",1,0,"MIGHTY`taner",2021-02-14,"14:07:09"
"2021-02-14 16.16.44 [Online Round 1] @NNNxDario, xPoDxSilaneo.log","NNNxDario",1,0,"xPoDxSilaneo",2021-02-14,"16:16:44"
