Rank	Nickname	Points	Rounds	Games	Activity	Streak
1	chuvash	316.5	278-(40)	112-(3)	31 hyperactive!!!	2 won
2	PavelB	245.7	101-(26)	45-(7)	21 hyperactive!!!	12 won
3	Rafka	224.2	52-(23)	23-(7)	9 good	1 lost
4	KinslayeR	191.3	122-(159)	43-(62)	44 hyperactive!!!	1 lost
5	Free	188.9	53-(26)	24-(10)	9 good	6 won
6	Psykologi	184.5	66-(36)	31-(12)	8 good	3 won
7	Senator	176.3	30-(19)	12-(6)	9 good	4 won
8	Silaneo	174.5	112-(196)	42-(74)	30 hyperactive!!!	3 won
9	Dieego98	173.8	87-(88)	30-(27)	13 very good!	4 lost
10	Albus	167.7	134-(187)	46-(73)	11 very good!	2 lost
11	Master	162.3	94-(66)	35-(17)	6 mediocre	6 won
12	Kayz	138.2	18-(3)	6-(0)	0 very poor	6 won
13	tita	136.9	13-(1)	5-(0)	0 very poor	5 won
14	Lupastic	122.7	21-(23)	7-(10)	7 mediocre	1 won
15	tadeusz	120.6	11-(9)	4-(4)	0 very poor	4 lost
16	Chicken23	119.5	22-(33)	8-(11)	0 very poor	1 lost
17	pavlepavle	113.6	2-(0)	1-(0)	1 very poor	1 won
18	StJimmy	85.97	29-(70)	7-(28)	10 good	14 lost
19	pava	80.27	13-(18)	4-(7)	2 poor	7 lost
20	Perdunok	79.32	20-(13)	8-(4)	12 very good!	6 won
21	EPI	76.87	16-(19)	7-(8)	1 very poor	3 lost
22	oldsock	70.44	21-(87)	3-(42)	0 very poor	13 lost
23	djongador	61.5	9-(32)	2-(15)	1 very poor	10 lost
24	SIBASA	58.67	8-(16)	2-(5)	6 mediocre	2 lost
25	Leoric	57.19	2-(12)	1-(5)	5 mediocre	4 lost
26	Kilobyte	53.11	3-(12)	1-(5)	1 very poor	4 lost
27	dibz	47.58	8-(9)	3-(3)	6 mediocre	1 won
28	Ledan	47.03	6-(21)	1-(10)	5 mediocre	2 lost
29	Crespo	42.22	3-(13)	1-(6)	7 mediocre	5 lost
30	Kamazi	38.77	1-(4)	0-(1)	1 very poor	1 lost
31	Cinzel	34.28	0-(6)	0-(3)	0 very poor	3 lost
32	ILYXA	33.25	1-(10)	0-(4)	3 poor	4 lost
33	Amanwaf	33.16	1-(24)	0-(12)	0 very poor	12 lost
34	Gufron	29.83	3-(6)	0-(3)	3 poor	3 lost
35	DarK'X'LorD	27.66	0-(2)	0-(1)	1 very poor	1 lost
36	Cinek	27.66	0-(2)	0-(1)	1 very poor	1 lost
37	russianvodka	27.66	0-(2)	0-(1)	1 very poor	1 lost
38	DrNick	27.66	0-(2)	0-(1)	1 very poor	1 lost
39	kinoman	27.66	0-(2)	0-(1)	1 very poor	1 lost
40	Still	25.65	0-(4)	0-(2)	2 poor	2 lost
41	Roccat	25.48	0-(4)	0-(4)	1 very poor	4 lost
42	Corujao	24.83	1-(2)	0-(1)	0 very poor	1 lost
43	Danelius	24.64	0-(3)	0-(1)	0 very poor	1 lost
44	Ferenando	22.72	0-(4)	0-(2)	0 very poor	2 lost
45	Zhirnich	22.72	0-(4)	0-(2)	0 very poor	2 lost
46	lopez185	22.48	0-(5)	0-(3)	0 very poor	3 lost
47	dsa	14.99	0-(2)	0-(1)	1 very poor	1 lost
48	Irtis	12.91	0-(4)	0-(2)	0 very poor	2 lost
49	Inckilla	12	0-(1)	0-(1)	0 very poor	1 lost
50	Saint	9.766	0-(2)	0-(1)	0 very poor	1 lost
51	Koras	9.723	0-(2)	0-(1)	0 very poor	1 lost
52	VdM2103	7.916	1-(2)	0-(1)	0 very poor	1 lost
53	LacLac	4.002	0-(2)	0-(1)	1 very poor	1 lost
54	Whale	3.005	0-(2)	0-(1)	0 very poor	1 lost
55	Szwagier	2.769	0-(2)	0-(1)	0 very poor	1 lost
56	pknr	0	0-(0)	0-(0)	0 very poor	
57	MannydeKiller	0	0-(0)	0-(0)	0 very poor	
58	Gerger	0	0-(0)	0-(0)	0 very poor	
