dateat,score_confirmer,score_confirmed,user_confirmer,user_confirmed
2021-11-28 00:15:59,0,3,StJimmy,tita
2021-12-27 19:00:07,0,2,Ledan,KinslayeR
2021-12-08 21:00:31,0,2,Amanwaf,Dieego98
2022-01-01 13:29:45,0,2,Ferenando,PavelB
2022-01-16 21:28:26,0,2,kinoman,PavelB
2022-01-18 03:56:38,0,2,StJimmy,dibz
2021-10-26 22:57:39,1,0,oldsock,Albus
2021-12-27 16:44:42,1,0,PavelB,Roccat
2021-10-24 20:39:28,1,0,Albus,oldsock
2021-10-24 21:20:13,1,0,Albus,oldsock
2021-10-25 15:23:31,1,0,Albus,StJimmy
2021-10-25 16:34:28,1,0,Albus,Inckilla
2021-10-25 17:16:21,1,0,Albus,djongador
2021-10-27 21:38:25,1,0,Albus,Dieego98
2021-11-30 15:13:51,1,0,pava,Roccat
2021-12-06 17:39:12,1,2,Silaneo,tita
2021-12-09 01:23:43,1,4,StJimmy,Dieego98
2021-12-20 13:27:27,1,0,PavelB,Roccat
2021-12-29 18:29:28,1,2,StJimmy,KinslayeR
2021-12-30 21:52:57,1,0,KinslayeR,lopez185
2022-01-05 16:16:18,1,0,PavelB,Roccat
2022-01-11 19:57:12,1,0,chuvash,Dieego98
2021-10-31 21:54:28,2,0,Free,lopez185
2021-11-01 18:21:41,2,0,tadeusz,Albus
2021-11-01 18:56:44,2,0,tadeusz,Free
2021-11-02 16:04:59,2,0,Psykologi,Silaneo
2021-11-02 18:16:36,2,0,chuvash,Silaneo
2021-11-01 17:08:12,2,0,tadeusz,Psykologi
2021-11-24 21:22:42,2,0,Master,Albus
2021-11-20 17:31:44,2,0,Dieego98,Silaneo
2021-10-19 00:54:44,2,0,Albus,oldsock
2021-10-19 18:09:40,2,0,Psykologi,oldsock
2021-10-20 20:35:57,2,0,Psykologi,StJimmy
2021-10-20 18:00:22,2,1,Silaneo,oldsock
2021-10-21 13:09:49,2,0,Rafka,Cinzel
2021-10-21 16:21:14,2,1,chuvash,oldsock
2021-10-21 17:27:15,2,0,Psykologi,Silaneo
2021-10-22 18:35:11,2,0,Silaneo,lopez185
2021-10-22 17:16:26,2,0,Silaneo,oldsock
2021-10-24 12:47:12,2,1,Psykologi,Albus
2021-10-24 16:19:57,2,1,Albus,oldsock
2021-10-24 17:03:43,2,0,Psykologi,oldsock
2021-10-25 19:09:46,2,1,chuvash,Albus
2021-10-26 12:16:15,2,0,Rafka,Albus
2021-10-26 16:01:46,2,0,Psykologi,Albus
2021-10-26 19:47:12,2,1,Albus,chuvash
2021-10-27 02:15:40,2,0,Albus,Dieego98
2021-10-27 12:19:06,2,0,Free,Albus
2021-10-27 18:49:51,2,1,Rafka,Silaneo
2021-10-27 17:02:30,2,0,Psykologi,oldsock
2021-10-27 22:50:32,2,0,Free,oldsock
2021-10-28 16:21:32,2,1,Psykologi,oldsock
2021-10-28 18:51:14,2,0,chuvash,Free
2021-10-28 19:51:44,2,1,Silaneo,djongador
2021-10-28 21:07:54,2,1,Kilobyte,Master
2021-10-28 23:20:37,2,1,Free,Chicken23
2021-10-29 15:48:48,2,0,chuvash,Albus
2021-10-29 18:29:23,2,0,Psykologi,Silaneo
2021-10-29 20:42:22,2,1,Lupastic,Free
2021-10-30 18:24:34,2,0,Silaneo,Chicken23
2021-10-31 16:39:57,2,0,chuvash,Silaneo
2021-10-31 14:30:16,2,0,Free,StJimmy
2021-11-05 19:39:53,2,1,Psykologi,Silaneo
2021-11-06 17:14:55,2,1,oldsock,Silaneo
2021-11-08 20:59:40,2,1,Free,oldsock
2021-11-08 21:11:54,2,0,chuvash,Dieego98
2021-11-09 22:46:07,2,1,StJimmy,SIBASA
2021-11-10 18:29:09,2,0,Psykologi,oldsock
2021-11-10 12:28:50,2,0,Rafka,Lupastic
2021-11-10 18:28:51,2,0,Silaneo,djongador
2021-11-10 17:37:47,2,1,Psykologi,Albus
2021-11-10 23:45:03,2,0,Dieego98,Free
2021-11-11 20:16:16,2,0,chuvash,Silaneo
2021-11-12 18:21:19,2,0,Silaneo,oldsock
2021-11-16 20:01:35,2,0,Albus,Silaneo
2021-11-16 17:02:19,2,0,chuvash,Albus
2021-11-15 18:58:49,2,1,Silaneo,tadeusz
2021-11-16 16:59:08,2,0,Psykologi,Silaneo
2021-11-16 22:19:15,2,0,Free,Chicken23
2021-11-17 17:39:00,2,0,Albus,Psykologi
2021-11-17 19:30:18,2,0,Silaneo,tadeusz
2021-11-18 16:54:17,2,0,Silaneo,Psykologi
2021-11-18 18:36:27,2,1,Chicken23,Psykologi
2021-11-19 17:31:33,2,1,Silaneo,oldsock
2021-11-18 20:15:52,2,0,Psykologi,Chicken23
2021-11-19 22:03:58,2,0,Free,Dieego98
2021-11-22 10:31:03,2,0,Albus,Free
2021-11-22 00:39:38,2,0,Chicken23,StJimmy
2021-11-22 14:38:12,2,1,Free,Rafka
2021-11-23 18:01:13,2,0,chuvash,Silaneo
2021-11-26 21:30:22,2,0,Master,oldsock
2021-11-27 00:26:16,2,1,Chicken23,Lupastic
2021-11-29 20:38:39,2,0,chuvash,Albus
2021-11-28 21:45:27,2,1,Master,Albus
