Rank	Nickname	Points	Rounds	Games	Activity	Streak
1	PavelB	157.2	113-(27)	51-(8)	0 very poor	1 won
2	chuvash	151.4	85-(17)	33-(3)	0 very poor	1 lost
3	Master	139.7	203-(129)	77-(40)	3 poor	3 won
4	Psykologi	116.7	132-(110)	54-(40)	2 poor	2 won
5	KinslayeR	110.9	162-(190)	51-(62)	2 poor	2 lost
6	Perdunok	105.7	99-(93)	41-(38)	11 very good!	2 won
7	Silaneo	103.4	82-(126)	31-(51)	3 poor	1 won
8	Rafka	102.3	22-(8)	9-(2)	5 mediocre	5 won
9	Albus	98.5	42-(28)	18-(9)	0 very poor	1 lost
10	Kilobyte	65.79	9-(12)	2-(6)	2 poor	1 lost
11	Leoric	64.13	9-(16)	3-(5)	0 very poor	3 lost
12	Cinek	60.32	3-(4)	1-(2)	0 very poor	2 lost
13	Senator	58.76	7-(6)	2-(1)	1 very poor	1 lost
14	Lupastic	57.02	20-(6)	9-(1)	3 poor	2 won
15	oldsock	56.94	4-(6)	2-(2)	0 very poor	1 won
16	Free	50.95	5-(9)	2-(4)	1 very poor	1 won
17	EPI	36.92	25-(38)	12-(18)	11 very good!	3 lost
18	djongador	34.65	10-(17)	3-(7)	2 poor	3 won
19	Gufron	34.37	10-(38)	1-(16)	0 very poor	8 lost
20	DarK'X'LorD	32.05	3-(10)	1-(5)	1 very poor	1 won
21	FrancisNgannoy	30.6	5-(7)	1-(3)	1 very poor	1 lost
22	StJimmy	30.16	11-(28)	3-(11)	0 very poor	1 won
23	Dieego98	30.03	5-(12)	1-(5)	0 very poor	3 lost
24	Kisiro	27.8	1-(6)	0-(3)	0 very poor	3 lost
25	CzarnyKot	26.27	7-(41)	2-(20)	6 mediocre	9 lost
26	Ypslon	24.71	2-(13)	0-(7)	0 very poor	7 lost
27	SIBASA	23.24	1-(11)	0-(5)	1 very poor	5 lost
28	Roccat	20.6	0-(1)	0-(1)	0 very poor	1 lost
29	ILYXA	18.24	1-(15)	0-(8)	0 very poor	8 lost
30	Ferenando	18.01	1-(5)	0-(3)	1 very poor	3 lost
31	Abegod	17.29	0-(2)	0-(1)	0 very poor	1 lost
32	Kayz	15.7	2-(1)	1-(0)	1 very poor	1 won
33	TOMT	15.55	0-(6)	0-(3)	0 very poor	3 lost
34	DurczyN	14.94	1-(19)	0-(9)	3 poor	9 lost
35	DrNick	14.21	0-(6)	0-(3)	0 very poor	3 lost
36	russianvodka	14.19	0-(4)	0-(2)	0 very poor	2 lost
37	VdM2103	13.12	0-(8)	0-(4)	0 very poor	4 lost
38	Corujao	12.97	5-(3)	2-(0)	0 very poor	2 won
39	dibz	10.99	7-(4)	3-(1)	0 very poor	1 lost
40	kotel	10.73	2-(1)	1-(0)	0 very poor	1 won
41	bb	9.099	0-(1)	0-(1)	0 very poor	1 lost
42	Puschkin	7.333	0-(4)	0-(2)	1 very poor	2 lost
43	LacLac	6.298	0-(3)	0-(2)	1 very poor	2 lost
44	Szwagier	2.557	0-(1)	0-(1)	0 very poor	1 lost
45	Snake	2.089	0-(2)	0-(1)	0 very poor	1 lost
46	kvikbox	0	0-(0)	0-(0)	0 very poor	
47	donbass	0	0-(0)	0-(0)	0 very poor	
48	justic	0	0-(0)	0-(0)	0 very poor	
49	Professor6185	0	0-(0)	0-(0)	0 very poor	
50	Gastrit	0	0-(0)	0-(0)	0 very poor	
