dateat,score_confirmer,score_confirmed,user_confirmer,user_confirmed
2022-06-16 19:47:08,2,3,Lupastic,Korydex
2022-06-16 19:37:29,0,1,Lupastic,Korydex
2022-06-16 20:12:13,2,1,Lupastic,djongador
2022-06-16 20:32:57,1,2,djongador,Korydex
